[2022-06-21T13:18:20.328] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67V9yE',
  method: '[GET]'
}
[2022-06-21T13:18:26.052] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VBLk',
  method: '[GET]'
}
[2022-06-21T13:18:31.076] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VCaP',
  method: '[GET]'
}
[2022-06-21T13:18:36.095] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VDot',
  method: '[GET]'
}
[2022-06-21T13:18:41.112] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VF1B',
  method: '[GET]'
}
[2022-06-21T13:18:46.315] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VGIa',
  method: '[GET]'
}
[2022-06-21T13:18:52.318] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VHmO',
  method: '[GET]'
}
[2022-06-21T13:18:58.313] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VJE2',
  method: '[GET]'
}
[2022-06-21T13:19:04.322] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VKht',
  method: '[GET]'
}
[2022-06-21T13:19:10.319] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VM9e',
  method: '[GET]'
}
[2022-06-21T13:19:16.318] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VNdQ',
  method: '[GET]'
}
[2022-06-21T13:19:17.228] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T13:19:22.318] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VP59',
  method: '[GET]'
}
[2022-06-21T13:19:28.311] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VQYp',
  method: '[GET]'
}
[2022-06-21T13:19:34.319] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VS0i',
  method: '[GET]'
}
[2022-06-21T13:19:40.319] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VTUQ',
  method: '[GET]'
}
[2022-06-21T13:19:46.311] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VUy3',
  method: '[GET]'
}
[2022-06-21T13:19:52.312] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VWPj',
  method: '[GET]'
}
[2022-06-21T13:19:58.318] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VXtd',
  method: '[GET]'
}
[2022-06-21T13:20:04.314] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VZLJ',
  method: '[GET]'
}
[2022-06-21T13:20:10.317] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VapA',
  method: '[GET]'
}
[2022-06-21T13:20:16.308] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VcGl',
  method: '[GET]'
}
[2022-06-21T13:20:22.323] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67Vdkf',
  method: '[GET]'
}
[2022-06-21T13:20:28.315] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VfCP',
  method: '[GET]'
}
[2022-06-21T13:20:34.326] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VggC',
  method: '[GET]'
}
[2022-06-21T13:20:40.318] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67Vi7v',
  method: '[GET]'
}
[2022-06-21T13:20:46.319] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67Vjbi',
  method: '[GET]'
}
[2022-06-21T13:20:52.318] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67Vl3L',
  method: '[GET]'
}
[2022-06-21T13:20:58.316] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VmXA',
  method: '[GET]'
}
[2022-06-21T13:21:04.311] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67Vn-r',
  method: '[GET]'
}
[2022-06-21T13:21:10.308] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VpSW',
  method: '[GET]'
}
[2022-06-21T13:21:16.308] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VqwG',
  method: '[GET]'
}
[2022-06-21T13:21:22.314] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VsO1',
  method: '[GET]'
}
[2022-06-21T13:21:28.322] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67Vtrw',
  method: '[GET]'
}
[2022-06-21T13:21:34.320] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VvJg',
  method: '[GET]'
}
[2022-06-21T13:21:40.317] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VwnR',
  method: '[GET]'
}
[2022-06-21T13:21:46.318] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67VyFB',
  method: '[GET]'
}
[2022-06-21T13:21:52.310] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67Vziq',
  method: '[GET]'
}
[2022-06-21T13:21:58.321] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67V_Ai',
  method: '[GET]'
}
[2022-06-21T13:22:04.308] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67W0eI',
  method: '[GET]'
}
[2022-06-21T13:22:10.308] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67W261',
  method: '[GET]'
}
[2022-06-21T13:22:16.316] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67W3Zu',
  method: '[GET]'
}
[2022-06-21T13:22:22.311] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67W51Z',
  method: '[GET]'
}
[2022-06-21T13:22:28.318] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67W6VR',
  method: '[GET]'
}
[2022-06-21T13:22:34.317] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67W7z6',
  method: '[GET]'
}
[2022-06-21T13:22:40.313] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67W9Qo',
  method: '[GET]'
}
[2022-06-21T13:22:46.309] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WAuW',
  method: '[GET]'
}
[2022-06-21T13:22:52.313] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WCMJ',
  method: '[GET]'
}
[2022-06-21T13:22:58.306] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WDp_',
  method: '[GET]'
}
[2022-06-21T13:23:04.307] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WFHm',
  method: '[GET]'
}
[2022-06-21T13:23:10.318] [INFO] infoFile - {
